 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 30 00 02  0.84  4.35 147           3.73                           21.9           1
2012 05 30 00 32  0.89  3.57 165           3.80                           21.9           1
2012 05 30 01 02  0.83  5.26 144           3.76                           21.9           1
2012 05 30 01 32  0.84  6.67 142           3.92                           22.0           1
2012 05 30 02 02  0.83  5.26 144           3.83                           22.0           1
2012 05 30 02 32  0.83  6.67 145           3.90                           22.1           1
2012 05 30 03 02  0.83  7.14 134           3.91                           22.0           1
2012 05 30 03 32  0.79  5.00 151           4.05                           21.8           1
2012 05 30 04 02  0.79  5.88 147           4.20                           21.8           1
2012 05 30 04 32  0.76  5.56 152           4.25                           21.8           1
2012 05 30 05 02  0.85  5.88 149           4.42                           21.6           1
2012 05 30 05 32  0.86  5.56 148           4.54                           21.6           1
2012 05 30 06 02  0.80  5.88 151           4.62                           21.6           1
2012 05 30 06 32  0.78  5.88 151           4.70                           21.6           1
2012 05 30 07 02  0.79  5.56 151           4.76                           21.6           1
2012 05 30 07 32  0.82  5.56 151           4.80                           21.6           1
2012 05 30 08 02  0.77  5.56 147           4.66                           21.5           1
2012 05 30 08 32  0.74  5.26 151           4.79                           21.5           1
2012 05 30 09 02  0.79  6.25 147           4.90                           21.5           1
2012 05 30 09 32  0.75  5.88 149           4.90                           21.5           1
2012 05 30 10 02  0.74  5.88 148           4.91                           21.4           1
2012 05 30 10 32  0.75  5.88 149           4.87                           21.4           1
2012 05 30 11 02  0.71  5.88 152           4.92                           21.4           1
2012 05 30 11 32  0.76  5.88 148           4.86                           21.4           1
2012 05 30 12 02  0.71  5.26 149           4.88                           21.4           1
2012 05 30 12 32  0.76  5.56 154           5.03                           21.5           1
2012 05 30 13 02  0.77  5.88 147           5.18                           21.5           1
2012 05 30 13 32  0.78  6.25 148           5.05                           21.7           1
2012 05 30 14 02  0.77  5.88 149           5.00                           21.6           1
2012 05 30 14 32  0.82  5.88 149           4.95                           21.8           1
2012 05 30 15 02  0.78  5.88 144           5.00                           22.0           1
2012 05 30 15 32  0.82  5.88 148           5.05                           22.0           1
2012 05 30 16 02  0.81  5.88 148           5.09                           22.0           1
2012 05 30 16 32  0.77  5.88 147           5.01                           22.1           1
2012 05 30 17 02  0.85  6.25 142           5.18                           22.1           1
2012 05 30 17 32  1.03  6.25 144           4.88                           22.0           1
2012 05 30 18 02  1.06  5.56 152           4.53                           22.0           1
2012 05 30 18 32  1.10  5.88 147           4.47                           22.0           1
2012 05 30 19 02  1.18  6.67 142           4.32                           22.0           1
2012 05 30 19 32  1.24  6.25 149           4.22                           22.0           1
2012 05 30 20 02  1.42  7.14 139           4.22                           22.0           1
2012 05 30 20 32  1.54  4.35  31           4.21                           22.0           1
2012 05 30 21 02  1.48  4.55  23           4.25                           21.9           1
2012 05 30 21 32  1.66  4.55  23           4.51                           21.8           1
2012 05 30 22 02  2.02  7.69 147           5.09                           21.6           1
2012 05 30 22 32  2.00  8.33 145           5.01                           21.5           1
2012 05 30 23 02  1.95  4.76  44           4.73                           21.3           1
2012 05 30 23 32  2.16  8.33 149           5.05                           21.1           1
2012 05 31 00 02  2.18  5.00  37           5.22                           20.8           1
2012 05 31 00 32  2.05  9.09 141           5.08                           20.5           1
2012 05 31 01 02  2.03  4.76  40           5.03                           20.1           1
2012 05 31 01 32  1.97  5.26  41           5.13                           19.7           1
2012 05 31 02 02  1.98  5.56  44           5.14                           19.5           1
2012 05 31 02 32  1.88  5.56  58           5.27                           19.4           1
2012 05 31 03 02  1.99  5.56  45           5.26                           19.4           1
2012 05 31 03 32  1.84  5.56  57           5.30                           19.4           1
2012 05 31 04 02  1.77  5.56  57           5.38                           19.5           1
2012 05 31 04 32  1.91  5.56  42           5.49                           19.6           1
2012 05 31 05 02  1.72  5.88  65           5.31                           19.8           1
2012 05 31 05 32  1.73  9.09 132           5.24                           19.8           1
2012 05 31 06 02  1.65  6.67  76           5.32                           19.8           1
2012 05 31 06 32  1.60  6.25  66           5.34                           19.9           1
2012 05 31 07 02  1.53  6.67  79           5.43                           19.9           1
2012 05 31 07 32  1.45  6.67  79           5.32                           19.9           1
2012 05 31 08 02  1.41  9.88 144           5.51                           19.9           1
2012 05 31 08 32  1.34  6.67  66           5.54                           19.9           1
2012 05 31 09 02  1.21  6.25  59           5.49                           19.9           1
2012 05 31 09 32  1.22  9.88 127           5.79                           19.9           1
2012 05 31 10 02  1.19  9.88 127           5.78                           19.9           1
2012 05 31 10 32  1.08  6.67  64           5.72                           19.9           1
2012 05 31 11 02  1.05  9.88 131           5.77                           19.9           1
2012 05 31 11 32  1.01  6.25  61           5.73                           19.8           1
2012 05 31 12 02  0.92  9.09 138           5.62                           19.8           1
2012 05 31 12 32  0.91  9.09 142           5.75                           19.8           1
2012 05 31 13 02  0.91  6.25  55           5.72                           20.0           1
2012 05 31 13 32  0.92  9.09 135           5.75                           20.3           1
2012 05 31 14 02  0.88  6.25  61           5.75                           20.5           1
2012 05 31 14 32  0.87  6.25  62           5.60                           20.5           1
2012 05 31 15 02  0.89  9.09 124           5.68                           20.8           1
2012 05 31 15 32  0.83  8.33 124           5.56                           20.5           1
2012 05 31 16 02  0.85  8.33 128           5.56                           20.9           1
